sql_prompt,sql
total number marine conservation initiative atlantic ocean many initiative led nongovernmental organization,"SELECT COUNT(*) AS total_initiatives, SUM(leader = 'Greenpeace' OR leader = 'World Wildlife Fund') AS ngo_led_initiatives FROM marine_conservation WHERE ocean = 'Atlantic Ocean';"
many deepsea expedition conducted country atlantic indian ocean,"SELECT country, COUNT(*) FROM deep_sea_expeditions WHERE ocean IN ('Atlantic', 'Indian') GROUP BY country;"
average rating hotel paris bookingcom,SELECT AVG(rating) FROM Hotels WHERE city = 'Paris';
threat actor active north america last 30 day number incident involved,"SELECT threat_actors.type, COUNT(*) as incident_count FROM threat_actors JOIN incidents ON threat_actors.date = incidents.date WHERE threat_actors.location = 'North America' AND incidents.date >= (CURRENT_DATE - INTERVAL '30' DAY) GROUP BY threat_actors.type;"
total economic diversification investment nigeria 2019,SELECT SUM(investment) FROM economic_diversification WHERE country = 'Nigeria' AND year = 2019;
determine top 3 city highest average claim amount health insurance policy,"SELECT c.city, AVG(claim_amount) FROM claims c JOIN policies p ON c.policy_id = p.policy_id WHERE policy_type = 'health' GROUP BY c.city ORDER BY AVG(claim_amount) DESC LIMIT 3;"
total amount funding received womenled agricultural project kenya 2020,SELECT SUM(Funding_Received) FROM Agricultural_Projects WHERE Led_By = 'Women' AND Year = 2020 AND Location = 'Kenya';
maximum salary employee identify veteran,SELECT MAX(Salary) FROM Employees WHERE VeteranStatus = 'Veteran';
top 5 common type vulnerability found finance sector,"SELECT vulnerability, COUNT(*) as count FROM vulnerabilities WHERE sector = 'finance' GROUP BY vulnerability ORDER BY count DESC LIMIT 5;"
list number volunteer registered q1 q3 2023,"SELECT EXTRACT(QUARTER FROM registration_date) as quarter, COUNT(DISTINCT name) as volunteers_joined FROM volunteer_registration WHERE registration_date BETWEEN '2023-01-01' AND '2023-06-30' GROUP BY quarter HAVING quarter IN (1, 3);"
find local economic impact tourism tokyo japan 2022,SELECT economic_impact FROM local_impact_japan WHERE location = 'Tokyo' AND year = 2022;
maximum number ota booking made hotel city category,SELECT MAX(otas.bookings) FROM otas INNER JOIN hotels ON otas.hotel_id = hotels.hotel_id WHERE hotels.category = 'City';
list astronaut medical checkup 2020 corresponding medical status,"SELECT name, medical_status FROM Astronauts WHERE medical_checkup_date >= '2020-01-01' AND medical_checkup_date < '2021-01-01';"
percentage system higher risk score average risk score last 60 day,"SELECT COUNT(*) * 100.0 / (SELECT COUNT(*) FROM systems WHERE last_updated >= DATEADD(day, -60, GETDATE())) AS pct_above_avg FROM systems s WHERE risk_score > (SELECT AVG(risk_score) FROM systems WHERE last_updated >= DATEADD(day, -60, GETDATE()));"
many space mission conducted asian astronaut 2023,SELECT COUNT(*) FROM Missions INNER JOIN Astronauts ON Missions.Astronaut = Astronauts.Name WHERE Region = 'Asia' AND Year = 2023;
many unesco world heritage site india,SELECT COUNT(*) FROM world_heritage_sites WHERE country = 'India' AND is_unesco_site = true;
threeyear rolling average rural infrastructure project nigeria partitioned region,"SELECT region, year, AVG(num_projects) OVER (PARTITION BY region ORDER BY year ROWS BETWEEN 2 PRECEDING AND CURRENT ROW) AS rolling_average FROM rural_projects WHERE region IN ('North', 'South', 'East', 'West');"
average age unvaccinated individual nyc,SELECT AVG(age) FROM individual i WHERE i.city = 'NYC' AND i.vaccination_status = 'unvaccinated';
list policyholder filed multiple claim last 365 day,"SELECT Policyholders.PolicyholderID, Policyholders.LastClaimDate, COUNT(Claims.ClaimID) AS NumberOfClaims FROM Policyholders LEFT JOIN Claims ON Policyholders.PolicyholderID = Claims.PolicyholderID WHERE Claims.ClaimDate BETWEEN DATE_SUB(CURRENT_DATE(), INTERVAL 365 DAY) AND CURRENT_DATE() GROUP BY Policyholders.PolicyholderID HAVING COUNT(Claims.ClaimID) > 1;"
total number high severity vulnerability reported external source last month,"SELECT COUNT(*) FROM vulnerabilities WHERE severity = 'high' AND reported_date >= DATE_SUB(CURDATE(), INTERVAL 1 MONTH) AND source = 'external';"
many hospital state texas,SELECT COUNT(*) FROM Hospitals WHERE State = 'Texas';
minimum donation amount year 2021 donor donated twice,SELECT MIN(donation_amount) FROM donors WHERE YEAR(donation_date) = 2021 AND donor_id IN (SELECT donor_id FROM donors GROUP BY donor_id HAVING COUNT(*) > 2);
highest number threepoint field goal celtic,"SELECT home_team_three_point, away_team_three_point, (home_team_three_point + away_team_three_point) as total_three_point FROM games WHERE home_team_id = (SELECT team_id FROM teams WHERE team_name = 'Celtics') OR away_team_id = (SELECT team_id FROM teams WHERE team_name = 'Celtics') ORDER BY total_three_point DESC LIMIT 1;"
many marine specie caribbean sea,SELECT COUNT(species_name) FROM CaribbeanSea WHERE species_name != 'Coral';
name community development initiative participant communitydevelopment table,SELECT initiative_name FROM community_development WHERE number_of_participants = (SELECT MAX(number_of_participants) FROM community_development);
maximum budget agricultural innovation project ruralinfrastructure table,SELECT MAX(budget) FROM rural_infrastructure WHERE type = 'Agricultural Innovation';
agricultural innovation implemented guatemala 2016 2019,SELECT innovation FROM agricultural_innovations WHERE country = 'Guatemala' AND implementation_year BETWEEN 2016 AND 2019;
average revenue ecofriendly hotel brazil argentina,"SELECT AVG(revenue) FROM hotels WHERE country IN ('Brazil', 'Argentina') AND hotel_name LIKE '%eco%';"
minimum biomass shark atlantic ocean,SELECT MIN(biomass) FROM shark_biomass WHERE ocean = 'Atlantic';
average virtual tour booking per day new york,SELECT AVG(bookings) FROM virtual_tours WHERE location = 'New York' GROUP BY DATE(booking_date);
find number unique marine specie arctic ocean region,SELECT COUNT(DISTINCT species) FROM arctic_marine_species WHERE region = 'Arctic';
many flu shot administered patient 65 texas,SELECT COUNT(*) FROM flu_shots f INNER JOIN patients p ON f.patient_id = p.patient_id WHERE p.age > 65 AND f.state = 'Texas';
average budget agricultural innovation project southeast asia,SELECT AVG(p.budget) FROM project p JOIN location l ON p.location = l.name JOIN continent c ON l.continent_id = c.continent_id WHERE c.name = 'Asia' AND l.name = 'Southeast Asia';
list number accessible technology initiative category top 3 populous country,"SELECT Accessible_Tech_Categories.category, SUM(Accessible_Tech_Categories.initiatives) FROM Accessible_Tech_Categories WHERE Accessible_Tech_Categories.country IN (SELECT Accessible_Tech_Categories.country FROM Accessible_Tech_Categories GROUP BY Accessible_Tech_Categories.country ORDER BY COUNT(Accessible_Tech_Categories.country) DESC LIMIT 3) GROUP BY Accessible_Tech_Categories.category;"
total number cultural heritage site middle eastern region,SELECT COUNT(*) FROM sites_me WHERE region = 'Middle East';
average salary male employee per department,"SELECT Department, AVG(Salary) as Avg_Salary FROM Employees WHERE Gender = 'Male' GROUP BY Department;"
average population seal arctic ocean,SELECT AVG(population) FROM ArcticOcean WHERE seal_species IS NOT NULL;
many sustainable tourism initiative launched asia 2021,SELECT COUNT(*) as total_initiatives FROM sustainability_initiatives WHERE location LIKE '%Asia%' AND year = 2021;
total revenue generated ecofriendly hotel america 100 room year 2022,SELECT SUM(revenue) FROM Hotels WHERE eco_certified = TRUE AND country IN ('Americas') AND rooms > 100 AND YEAR(date) = 2022;
display missionname launchdate missionstatus mission launched 1990 spacemissions table,"SELECT mission_name, launch_date, mission_status FROM space_missions WHERE launch_date < '1990-01-01';"
many security incident emea region per month 2021,"SELECT EXTRACT(MONTH FROM incident_date) as month, COUNT(*) as incidents_per_month FROM security_incidents WHERE region = 'EMEA' AND incident_date BETWEEN '2021-01-01' AND '2021-12-31' GROUP BY month;"
basketball player rebound nba,SELECT player FROM rebounds WHERE league = 'NBA' AND rebounds = (SELECT MAX(rebounds) FROM rebounds WHERE league = 'NBA');
average annual revenue generated sustainable tourism provider australia,SELECT AVG(annual_revenue) FROM TourismProviders JOIN Revenue ON TourismProviders.provider_id = Revenue.provider_id WHERE country = 'Australia' AND sustainability_focus = 'Sustainable Tourism';
number rural infrastructure project cambodia average cost,"SELECT COUNT(*), AVG(cost) FROM projects WHERE country = 'Cambodia';"
total number threat intelligence entry last 6 month,"SELECT COUNT(*) FROM ThreatIntelligence WHERE EntryDate >= DATE_SUB(CURDATE(), INTERVAL 6 MONTH);"
nonprofit organization received highest total donation amount q3 2022 segmented donor category,"SELECT donor_category, p.program_name, SUM(d.donation_amount) as total_donation_amount FROM donations d JOIN donors don ON d.donor_id = don.donor_id JOIN programs p ON don.donor_category = p.program_name WHERE d.donation_date BETWEEN '2022-07-01' AND '2022-09-30' GROUP BY donor_category, p.program_name;"
minimum ocean acidification level recorded pacific ocean research station level,"SELECT research_station.station_name, oa.level AS min_level FROM ocean_acidification oa JOIN (SELECT location, MIN(level) AS min_level FROM ocean_acidification WHERE region = 'Pacific Ocean' GROUP BY location) oa_min ON oa.level = oa_min.min_level JOIN research_stations research_station ON oa.location = research_station.station_name;"
maximum severity threat related ransomware last quarter,"SELECT MAX(severity) as max_severity FROM threat_severity WHERE threat_type = 'ransomware' AND threat_time >= DATE_SUB(CURRENT_TIMESTAMP, INTERVAL 3 MONTH);"
show total revenue generated online travel agency hotel booking region africa,"SELECT ota_id, SUM(revenue) as total_revenue FROM bookings WHERE region = 'Africa' GROUP BY ota_id;"
many goal scored top scorer 2022,"SELECT player, SUM(goals) FROM scores WHERE year = 2022 GROUP BY player ORDER BY SUM(goals) DESC LIMIT 1;"
average flight safety record aircraft manufactured airbus year 2019,SELECT AVG(safety_record) FROM Airbus.FlightSafetyRecords WHERE year = 2019;
maximum virtual tour engagement duration london uk,SELECT MAX(duration) FROM virtual_tours WHERE city = 'London' AND country = 'UK';
write sql query retrieve name claim date claim amount claim status approved,"SELECT p.name, c.claim_date, c.claim_amount FROM claims c JOIN policyholders p ON c.policyholder_id = p.policyholder_id WHERE c.status = 'Approved';"
maximum number review hotel africa,SELECT MAX(reviews) FROM hotels WHERE country = 'Africa';
total area marine protected area southern hemisphere,SELECT SUM(area_size) FROM marine_protected_areas WHERE location = 'Southern Hemisphere';
percentage policy issued q2 2021 policyholder residing rural area,SELECT (COUNT(policies.id) * 100.0 / (SELECT COUNT(*) FROM policies WHERE issue_date BETWEEN '2021-04-01' AND '2021-06-30')) FROM policies JOIN policyholders ON policies.policyholder_id = policyholders.id JOIN zipcodes ON SUBSTRING(policyholders.address FROM 14 FOR 5) = zipcodes.zipcode WHERE zipcodes.area_type = 'Rural' AND policies.issue_date BETWEEN '2021-04-01' AND '2021-06-30';
display name position engineer avionics department,"SELECT EmployeeID, FirstName, LastName, (CASE WHEN Position = 'Avionics Engineer' THEN 'Senior Avionics Engineer' ELSE Position END) AS NewPosition, Department FROM Employees WHERE Department = 'Avionics';"
find top 3 fastest marathon time germany,"SELECT location, running_time FROM marathons WHERE country = 'Germany' ORDER BY running_time ASC LIMIT 3;"
minimum donation amount made india 2019,SELECT MIN(donation_amount) FROM donations WHERE country = 'India' AND YEAR(donation_date) = 2019;
average height female basketball player player table,SELECT AVG(height) FROM players WHERE position = 'Guard' AND league = 'NBA' AND gender = 'Female';
identify hotel emea region adoption date aipowered service earlier competitor,SELECT hotel_name FROM ai_adoption WHERE region = 'EMEA' AND ai_adoption_date = (SELECT MIN(ai_adoption_date) FROM ai_adoption WHERE region = 'EMEA');
immunization rate measles south american country 2018,"SELECT Country, ImmunizationRate FROM ImmunizationRates WHERE Disease = 'Measles' AND Year = 2018;"
total biomass plankton atlantic ocean,SELECT SUM(biomass) FROM plankton WHERE ocean = 'Atlantic';
calculate average salary employee department,SELECT AVG(Salary) FROM Employees WHERE Department = 'IT';
many case tuberculosis reported state united state 2020,"SELECT s.name AS state_name, r.cases AS tb_cases FROM states s INNER JOIN tb_reports r ON s.id = r.state_id WHERE r.year = 2020 GROUP BY s.name;"
total number sustainable tour offered new york city,SELECT COUNT(*) FROM tours WHERE city = 'New York City' AND is_sustainable = true;
name marine specie pacific ocean,SELECT name FROM marine_species WHERE habitat = 'Pacific Ocean';
find top 5 goal scorer english premier league partitioned team ordered total goal descending order,"SELECT team_name, player_name, SUM(goals) OVER (PARTITION BY team_name) as total_goals, RANK() OVER (PARTITION BY team_name ORDER BY SUM(goals) DESC) as rank  FROM epl_players  WHERE league = 'EPL'  GROUP BY team_name, player_name  ORDER BY team_name, total_goals DESC, rank;"
list rural infrastructure project india budget greater 500000 usd,"SELECT name, location, budget FROM rural_infrastructure WHERE location = 'India' AND budget > 500000;"
list donor donated one organization,"SELECT don_id, don_name FROM donor WHERE don_id IN (SELECT don_id FROM (SELECT don_id, COUNT(DISTINCT org_id) as num_orgs FROM donation GROUP BY don_id) WHERE num_orgs > 1);"
average number security incident per day last month broken day week,"SELECT DATE_FORMAT(incident_date, '%W') as day_of_week, AVG(incident_count) as avg_incidents FROM security_incidents WHERE incident_date >= DATE_SUB(CURDATE(), INTERVAL 1 MONTH) GROUP BY day_of_week;"
list match played team 2019 basketball season,"SELECT a.team_name, b.team_name as opponent FROM matches a JOIN teams b ON a.team_id = b.team_id JOIN matches c ON b.team_id = c.opponent_id WHERE a.season = '2019' OR c.season = '2019';"
name astronaut india spent time space,SELECT astronaut_name FROM Astronauts WHERE astronaut_country = 'India' ORDER BY total_time_in_space DESC LIMIT 1;
average depth ocean floor pacific ocean,SELECT AVG(depth) FROM ocean_floor_depth WHERE location = 'Pacific Ocean Floor';
success rate womenled agricultural project defined percentage project completed time within budget past 5 year,"SELECT leader_gender, 100.0 * AVG(CASE WHEN budget = actual_spent AND completion_date <= planned_completion_date THEN 1 ELSE 0 END) as success_rate FROM (SELECT id, leader_gender, budget, completion_date, planned_completion_date, SUM(cost) as actual_spent FROM projects WHERE leader_gender = 'Female' AND date(completion_date) >= date('now','-5 years') GROUP BY id) subquery GROUP BY leader_gender;"
percentage successful attack total number attack last quarter,SELECT 100.0 * SUM(success) / COUNT(*) as success_percentage FROM attack_outcomes WHERE timestamp >= NOW() - INTERVAL 3 MONTH;
many mission successful astronaut,"SELECT a.Name, COUNT(m.ID) as Successful_Missions FROM Astronauts a INNER JOIN Missions m ON a.ID = m.Astronaut_ID WHERE m.Status = 'Success' GROUP BY a.Name;"
average engagement virtual tour oceania month january,SELECT AVG(engagement) FROM virtual_tours_oceania vt JOIN locations_oceania l ON vt.location = l.location WHERE l.region = 'Oceania' AND vt.month = 'January';
medical condition date top 25 medical condition date,"SELECT medical_condition, medical_date FROM (SELECT medical_condition, medical_date, NTILE(4) OVER (ORDER BY medical_date) as medical_group FROM medical) AS subquery WHERE medical_group = 4;"
threat type detected system abc123 last quarter,"SELECT threat_type FROM threat_intel WHERE system_id = 'ABC123' AND detected_date >= DATE_SUB(CURRENT_DATE, INTERVAL 3 MONTH);"
marine specie highest pollution level pollutionincidents table,"SELECT Species, PollutionLevel FROM PollutionIncidents WHERE PollutionLevel = (SELECT MAX(PollutionLevel) FROM PollutionIncidents);"
display name population marine specie research schema specie table population greater average population,"SELECT species_name, population FROM Research.Species WHERE population > (SELECT AVG(population) FROM Research.Species);"
list top 3 deepest marine protected area,"SELECT name, location, depth FROM (SELECT name, location, depth, ROW_NUMBER() OVER (ORDER BY depth DESC) as rn FROM marine_protected_areas) t WHERE rn <= 3;"
list agricultural innovation project funded grant,SELECT name FROM rural_development.innovation_projects WHERE funding_source = 'Grant';
list virtual tour offered japan respective provider,"SELECT name, provider FROM virtual_tours WHERE country = 'Japan';"
top 5 common type threat specific ip address,"SELECT type, SUM(frequency) as total_frequency FROM threats WHERE ip_address = '192.168.0.1' GROUP BY type ORDER BY total_frequency DESC LIMIT 5;"
find number employee changed job 2021 jobchange employee table,SELECT COUNT(DISTINCT employee_id) as num_changes FROM job_change JOIN employee ON job_change.employee_id = employee.id WHERE change_date >= '2021-01-01' AND change_date < '2022-01-01';
distribution security incident region past month,"SELECT region, SUM(incidents) as total_incidents FROM incident_regions WHERE timestamp >= '2022-02-01' GROUP BY region;"
top 3 common type cybersecurity incident healthcare sector past year total number occurrence,"SELECT incident_type, SUM(affected_assets) as total_occurrences FROM sector_incidents WHERE sector = 'Healthcare' AND incident_date >= DATE_SUB(CURRENT_DATE, INTERVAL 1 YEAR) GROUP BY incident_type ORDER BY total_occurrences DESC LIMIT 3;"
total number infectious disease case reported texas 2021,"SELECT COUNT(*) FROM CasesByYear WHERE City = 'Texas' AND Year = 2021 AND Disease IN ('Cholera', 'Tuberculosis', 'Measles', 'Influenza');"
list name location pollution control initiative arctic region,"SELECT name, location FROM pollution_control_initiatives WHERE location = 'Arctic';"
name rating cultural heritage site rome rating 4,"SELECT name, rating FROM heritage_sites WHERE city = 'Rome' AND rating > 4;"
total number donor donated cause last 30 day,"SELECT cause_id, COUNT(DISTINCT id) as num_donors FROM donors WHERE first_donation_date BETWEEN DATEADD(day, -30, GETDATE()) AND GETDATE() GROUP BY cause_id;"
show total number accessible technology patent woman inventor patent table,SELECT SUM(technology_accessibility) FROM patents WHERE inventor_gender = 'Female';
minimum maximum number hour digital literacy training provided per month organization middle east southeast asia,"SELECT MIN(hours), MAX(hours) FROM DigitalLiteracyTraining WHERE region IN ('Middle East', 'Southeast Asia');"
total number vulnerability high severity hr department,SELECT COUNT(*) FROM vulnerabilities WHERE department = 'HR' AND severity = 'high';
list unique medical condition astronaut participated space mission longer 100 day,SELECT DISTINCT Medical_Condition FROM Astronaut_Medical_3 WHERE Mission_Duration > 100;
count number game team mascot starting letter c mlb,SELECT SUM(wins) FROM mlb_teams_mascots WHERE mascot LIKE 'C%';
many hotel added database month january 2023,SELECT COUNT(*) FROM hotels WHERE MONTH(added_date) = 1 AND YEAR(added_date) = 2023;
average salary job role employee hired last 12 month,"SELECT JobRole, AVG(Salary) as AvgSalary FROM Employees WHERE HireDate >= (CURRENT_DATE - INTERVAL '12 months') GROUP BY JobRole;"
average number virtual tour engaged per day hotel berlin germany,SELECT AVG(engagement_count) FROM virtual_tours vt INNER JOIN hotels h ON vt.hotel_id = h.id WHERE h.city = 'Berlin' AND h.country = 'Germany' GROUP BY engagement_date;
list top 3 engaged city asiapacific virtual tour,"SELECT city, SUM(views) as total_views FROM virtual_tours WHERE city IN ('CityA', 'CityB', 'CityC', 'CityD') GROUP BY city ORDER BY total_views DESC LIMIT 3;"
total mass material used manufacturing satellite launched country european union,SELECT SUM(SM.Quantity * SM.Unit::numeric) FROM Satellites S INNER JOIN SatelliteMaterials SM ON S.SatelliteID = SM.SatelliteID INNER JOIN Countries C ON S.Country = C.CountryCode WHERE C.Continent = 'Europe';
many sustainable tourism business canada,SELECT COUNT(*) FROM sustainable_tourism WHERE country = 'Canada';
list space exploration mission conducted national space agency last 10 year,SELECT mission_name FROM SpaceExploration WHERE agency = 'National Space Agency' AND year >= (YEAR(CURRENT_DATE) - 10);
identify top 5 threat actor highest number exploited vulnerability q2 2022,"SELECT threat, SUM(exploited) as total_exploited FROM vulnerabilities WHERE timestamp >= '2022-04-01' AND timestamp < '2022-07-01' GROUP BY threat ORDER BY total_exploited DESC LIMIT 5;"
rural infrastructure project completed africa 2019 2021,"SELECT * FROM infrastructure_projects WHERE completion_year BETWEEN 2019 AND 2021 AND location LIKE '%Rural Area, Africa%';"
average budget economic diversification effort south africa year 2018 2019,"SELECT AVG(budget) FROM economic_diversification_efforts WHERE country = 'South Africa' AND year IN (2018, 2019);"
list vessel conducted survey northpacific southatlantic region,SELECT vessel FROM SurveyLocations WHERE region = 'NorthPacific' INTERSECT SELECT vessel FROM SurveyLocations WHERE region = 'SouthAtlantic';
average number threepoint shot made per game player asia played 75 game season,SELECT AVG(three_point_shots_made) FROM players WHERE country = 'Asia' GROUP BY country HAVING games_played > 75;
list name launch date jupiter mission jupitermissions table,"SELECT mission_name, launch_date FROM jupiter_missions WHERE destination = 'Jupiter';"
maximum number assist made hockey player single season,"SELECT MAX(assists) FROM season_assists WHERE sport = 'Hockey' GROUP BY player_name, season;"
name salary employee higher salary average salary department,"SELECT FirstName, LastName, Salary FROM Employees e1 WHERE Salary > (SELECT AVG(Salary) FROM Employees e2 WHERE e1.Department = e2.Department);"
minimum size hectare agricultural innovation project egypt,SELECT MIN(size_ha) FROM agricultural_innovation_projects WHERE country = 'Egypt';
list volunteer contributed 20 hour 2021,SELECT VolunteerName FROM Volunteers WHERE HoursDonated > 20 AND VolunteerYear = 2021;
list hotel consistently reduced energy consumption,"SELECT hotel_name, energy_consumption FROM (SELECT hotel_name, energy_consumption, energy_consumption - LAG(energy_consumption) OVER (PARTITION BY hotel_name ORDER BY year) as diff FROM hotels) where diff < 0;"
total number goal scored soccer player game table,SELECT SUM(goals) FROM games WHERE team IN (SELECT team FROM players WHERE position = 'Soccer Player');
local economic impact cultural heritage preservation project spain,SELECT local_economic_impact FROM cultural_heritage WHERE country = 'Spain' AND project_name = 'Ancient City Restoration';
threat intelligence source reported threat last year,"SELECT source, SUM(threats) as total_threats FROM threat_intelligence WHERE reported_date >= DATE_SUB(CURDATE(), INTERVAL 1 YEAR) GROUP BY source ORDER BY total_threats DESC;"
many volunteer signed april 2019,SELECT COUNT(*) FROM volunteers WHERE signup_date BETWEEN '2019-04-01' AND '2019-04-30';
number patient tested positive hiv 50 year old chicago,SELECT COUNT(*) FROM patients WHERE hiv = 'Positive' AND age > 50 AND city = 'Chicago';
many fish specie marinelifepopulations table,SELECT COUNT(species) FROM marine_life_populations WHERE species LIKE '%fish%';
identify name location marine protected area mpas arctic region,"SELECT NAME, LOCATION FROM MARINE_PROTECTED_AREAS WHERE REGION = 'Arctic';"
name agricultural project ruraldevelopment schema excluding livestock name,SELECT name FROM rural_development.agriculture_projects WHERE name NOT LIKE '%livestock%';
average age employee completed training program department,SELECT AVG(e.age) FROM employees e JOIN completed_training ct ON e.employee_id = ct.employee_id JOIN training_programs tp ON ct.program_id = tp.program_id WHERE e.department = 'IT';
average number spectator cricket match india last decade,"SELECT AVG(spectators) FROM matches WHERE country_id = 1 AND date >= DATE_SUB(NOW(), INTERVAL 10 YEAR);"
total donation received organization q1 2022,"SELECT OrgName, SUM(Amount) as TotalDonations FROM Donations JOIN Organizations ON Donations.OrgID = Organizations.OrgID WHERE DonationDate BETWEEN '2022-01-01' AND '2022-03-31' GROUP BY OrgName;"
cultural heritage site india least virtual visitor 2021,"SELECT site_name, MIN(visitors) FROM (SELECT site_name, year, quarter, SUM(visitors) AS visitors FROM cultural_sites INNER JOIN virtual_visitors ON cultural_sites.site_id = virtual_visitors.site_id WHERE country = 'India' AND year = 2021 GROUP BY site_name, year, quarter) AS t GROUP BY site_name;"
average life expectancy indigenous community canada,SELECT life_expectancy FROM life_expectancy WHERE community_type = 'Indigenous' AND country = 'Canada';
total revenue hotel canada use aipowered recommendation engine,SELECT SUM(hotels.revenue) FROM hotels INNER JOIN ai_recs ON hotels.hotel_id = ai_recs.hotel_id WHERE hotels.country = 'Canada' AND ai_recs.rec_engine = 'AI-powered';
show top 5 common vulnerability found last 6 month along number occurrence affected system,"SELECT vulnerability_name, COUNT(*) as occurrences, affected_system FROM vulnerabilities WHERE occurrence_time >= NOW() - INTERVAL '6 months' GROUP BY vulnerability_name, affected_system ORDER BY occurrences DESC LIMIT 5;"
average severity vulnerability found north american region,SELECT AVG(severity) FROM vulnerabilities WHERE region = 'North America';
list total number agricultural innovation project budget ruraldevelopment database focused mechanization type project sorted budget descending order,"SELECT COUNT(id) as total_mechanization_projects, SUM(budget) as total_budget FROM innovation_projects WHERE type = 'Mechanization' ORDER BY total_budget DESC;"
total number marine specie observed southern ocean 2019,"SELECT COUNT(DISTINCT species_name) FROM marine_species_observations WHERE YEAR(observation_date) = 2019 AND ocean_name IN ('Southern Ocean', 'Antarctic Ocean');"
total investment community development initiative gangetic plain region 2020,SELECT SUM(investment) FROM community_development WHERE region = 'Gangetic Plains' AND completion_year = 2020;
trend opioid overdose death west virginia,"SELECT date, deaths FROM opioid_overdoses WHERE location = 'West Virginia' ORDER BY date;"
total training cost employee joined company 2018 grouped department,"SELECT Department, SUM(Cost) FROM Employees INNER JOIN Trainings ON Employees.EmployeeID = Trainings.EmployeeID WHERE Employees.HireYear = 2018 GROUP BY Department;"
many security incident reported asia last month severity distribution,"SELECT country, severity, COUNT(*) as incident_count FROM security_incidents WHERE timestamp >= DATE_SUB(CURRENT_TIMESTAMP, INTERVAL 1 MONTH) AND country = 'Asia' GROUP BY country, severity;"
maximum occupancy rate ecofriendly hotel germany,SELECT MAX(occupancy_rate) FROM eco_hotels WHERE country = 'Germany';
vulnerability detected system also security incident last 3 month,"SELECT v.name, v.severity FROM vulnerabilities v JOIN security_incidents i ON v.system_id = i.system_id WHERE v.timestamp >= NOW() - INTERVAL 3 MONTH AND i.timestamp >= NOW() - INTERVAL 3 MONTH;"
average year implementation pollution control initiative southern ocean,SELECT AVG(year) FROM pollution_control_initiatives WHERE location = 'Southern Ocean';
average age employee completed leadership training program,SELECT AVG(Age) FROM Employees WHERE LeadershipTraining = TRUE;
many volunteer signed program q1 2021,"SELECT program, COUNT(volunteer_name) as num_volunteers FROM volunteers WHERE signup_date >= '2021-01-01' AND signup_date < '2021-04-01' GROUP BY program;"
top 5 farmer received highest amount funding agricultural innovation program africa,"SELECT farmer_name, SUM(funding) as total_funding FROM Agricultural_Innovation WHERE country = 'Africa' GROUP BY farmer_name ORDER BY total_funding DESC LIMIT 5;"
calculate average donation amount per organization organization received donation current month,"SELECT org_id, AVG(donation_amount) AS avg_donation_amount FROM donation WHERE EXTRACT(MONTH FROM donation_date) = EXTRACT(MONTH FROM CURRENT_DATE) AND EXTRACT(YEAR FROM donation_date) = EXTRACT(YEAR FROM CURRENT_DATE) GROUP BY org_id;"
calculate average salary gender including employee hired last year,"SELECT s.gender, AVG(s.salary) as avg_salary  FROM salaries s JOIN employees e ON s.emp_id = e.emp_id WHERE e.hire_date >= DATE_SUB(CURDATE(), INTERVAL 1 YEAR) GROUP BY s.gender;"
average size oil spill gulf mexico,SELECT AVG(size) FROM oil_spills WHERE location = 'Gulf of Mexico';
